record_order,rank,team_name,team_index,score,avg_accuracy_pct,avg_f1_pct,parse_rate_pct,avg_cost_usd,cheatsheet_size_kb
1,0,Baseline,baseline,2853,52.8,38.4,99.8,0.00048,0.46
2,274,AscendFoam,EQT01-T00153,2784,51.6,31.3,100.0,9e-05,3.91
3,1,Dufius,EQT01-T00566,3733,69.1,65.0,99.5,0.0006,9.83
4,2,vt,EQT01-T00739,3668,67.9,72.9,99.9,0.00056,8.21
5,3,Reza Jamei,EQT01-T00093,3579,66.3,74.0,99.7,0.00045,7.38
6,4,AJ,EQT01-T00769,3575,66.2,57.6,97.9,0.0012,9.63
7,5,yan-biao,EQT01-T00618,3525,65.3,47.1,98.8,0.0007,9.77
8,6,Pi,EQT01-T00957,3508,65.0,57.2,100.0,0.00049,4.44
9,7,magmaballs,EQT01-T00655,3461,64.1,69.8,99.6,0.00076,8.5
10,8,Alex Meiburg,EQT01-T00715,3452,63.9,51.0,99.5,0.00054,7.04
11,9,"""The Omegai Group""",EQT01-T00272,3426,63.4,42.1,98.0,0.00052,9.0
12,10,PiTeam,EQT01-T00941,3408,63.1,57.4,99.8,0.00051,6.55
13,11,Noiyakerssss,EQT01-T00676,3379,62.6,66.5,99.8,0.00065,7.95
14,12,Shisir Baral,EQT01-T00579,3376,62.5,45.5,100.0,0.00093,8.98
15,13,ChicagoHAI,EQT01-T00176,3371,62.4,57.4,99.2,0.0008,9.18
16,14,Chi Po Choi,EQT01-T00540,3355,62.1,70.5,100.0,0.00067,9.67
17,15,Rafael Cabral,EQT01-T00392,3353,62.1,57.0,99.9,0.00076,9.72
18,16,paws,EQT01-T00554,3351,62.1,49.7,99.6,0.00058,2.12
19,17,Sebastián Lozada,EQT01-T00680,3345,61.9,67.1,100.0,0.00058,8.53
20,17,Cathedral Research,EQT01-T00727,3345,61.9,53.2,99.8,0.00044,6.41
21,19,Heath,EQT01-T00855,3340,61.9,62.8,100.0,0.00063,8.35
22,20,Math Distillation,EQT01-T00264,3326,61.6,69.7,99.5,0.00051,9.75
23,21,Gavin Litchfield,EQT01-T00198,3323,61.5,51.2,100.0,0.00054,3.07
24,22,Costa Rica,EQT01-T00521,3321,61.5,55.2,99.4,0.00066,9.72
25,23,Chenlixin,EQT01-T00955,3312,61.3,41.3,100.0,0.00082,5.24
26,24,Malte Lackmann,EQT01-T00237,3295,61.0,51.5,99.1,0.00077,9.37
27,25,Gaurav Prakash,EQT01-T00043,3291,60.9,48.2,99.6,0.00089,9.95
28,26,Josu San Martin,EQT01-T00295,3278,60.7,52.9,99.6,0.0006,5.92
29,27,Dex Koi,EQT01-T00942,3256,60.3,70.5,100.0,0.00036,4.23
30,28,Abhinav Chand,EQT01-T00467,3254,60.3,68.8,99.9,0.0006,7.42
31,29,Arpit Singh Gautam,EQT01-T00201,3252,60.2,68.3,99.7,0.00037,7.44
32,30,Eucalyptus,EQT01-T00700,3247,60.1,37.1,100.0,0.00056,9.0
